K01202.01,Kepler-787 b,1115.0
K04790.01,,1115.0
K06342.01,,1115.0
K00214.01,Kepler-424 b,1116.0
K01597.01,,1116.0
K02111.01,Kepler-360 b,1116.0
K02630.01,,1116.0
K00085.03,Kepler-65 d,1117.0
K02243.02,Kepler-1154 c,1117.0
K01037.01,,1118.0
K02455.01,,1118.0
K03642.01,,1118.0
K00667.01,,1119.0
K02511.01,,1119.0
K02973.01,,1120.0
K07877.01,,1120.0
K00852.01,Kepler-704 b,1121.0
K02440.01,Kepler-1240 b,1121.0
K04674.01,,1121.0
K02063.01,Kepler-1078 b,1122.0
K05466.01,Kepler-1631 b,1122.0
K02580.01,Kepler-1281 b,1123.0
K02924.01,Kepler-1387 b,1123.0
K06085.01,,1123.0
K06219.01,,1123.0
K07023.01,,1123.0
K07801.01,,1123.0
K01323.01,Kepler-817 b,1124.0
K01357.01,,1124.0
K02303.02,,1124.0
K00239.01,Kepler-501 b,1125.0
K00262.02,Kepler-50 c,1125.0
K01638.01,,1125.0
K02273.01,Kepler-1169 b,1125.0
K02585.01,Kepler-392 b,1125.0
K04255.01,Kepler-1577 b,1125.0
K06293.01,,1125.0
K00447.01,,1126.0
K03877.01,,1126.0
K04434.01,,1126.0
K07885.01,,1126.0
K00647.02,,1127.0
K01835.02,Kepler-326 b,1127.0
K02700.01,,1127.0
K05584.01,,1127.0
K02224.01,Kepler-1149 b,1128.0
K06159.01,,1128.0
K00470.01,Kepler-564 b,1129.0
K01627.01,Kepler-913 b,1129.0
K02851.01,,1129.0
K04146.02,,1129.0
K01364.05,Kepler-292 b,1130.0
K01381.01,,1130.0
K04581.01,,1130.0
K06259.01,,1130.0
K06890.01,,1130.0
K00408.04,Kepler-150 b,1131.0
K00953.01,Kepler-740 b,1131.0
K01305.01,Kepler-285 b,1131.0
K03374.01,Kepler-1483 b,1131.0
K07945.01,,1131.0
K08059.01,,1131.0
K08244.01,,1131.0
K01315.01,,1132.0
K03088.01,,1132.0
K06974.01,,1132.0
K07479.01,,1132.0
K00568.01,Kepler-605 b,1133.0
K00762.01,Kepler-666 b,1133.0
K00833.01,,1133.0
K06156.01,,1133.0
K06426.01,,1133.0
K06960.01,,1133.0
K00456.02,Kepler-160 b,1134.0
K02362.01,,1134.0
K02427.01,,1134.0
K03715.01,,1134.0
K04190.01,Kepler-1563 b,1134.0
K04864.01,,1134.0
K06022.01,,1134.0
K06325.01,,1135.0
K07088.01,,1135.0
K01389.01,,1136.0
K01714.01,,1136.0
K03837.01,,1136.0
K03930.01,,1136.0
K04854.01,,1136.0
K07032.01,,1136.0
K07267.01,,1136.0
K07444.01,,1136.0
K07643.01,,1136.0
K00181.01,,1137.0
K01557.04,Kepler-304 e,1137.0
K02300.01,Kepler-1179 b,1137.0
K02838.02,Kepler-1365 c,1137.0
K03822.01,,1137.0
K04857.01,,1137.0
K06625.01,,1137.0
K07888.01,,1137.0
K02712.01,,1138.0
K04178.01,,1138.0
K06357.01,,1138.0
K00732.02,,1139.0
K00893.01,Kepler-717 b,1139.0
K00978.01,,1139.0
K01069.02,Kepler-760 c,1139.0
K04175.01,,1139.0
K04268.01,Kepler-1579 b,1139.0
K00246.01,Kepler-68 A b,1140.0
K00435.04,Kepler-154 e,1140.0
K02722.01,Kepler-402 c,1140.0
K00474.04,Kepler-164 b,1141.0
K00671.02,Kepler-208 c,1141.0
K01734.01,,1141.0
K03196.02,,1141.0
K03953.01,,1141.0
K06075.01,,1141.0
K06400.01,,1141.0
K06563.01,,1141.0
K07335.01,,1141.0
K07625.01,,1141.0
K00623.03,Kepler-197 b,1142.0
K01748.01,,1142.0
K04287.02,,1142.0
K01498.01,Kepler-864 b,1143.0
K01514.01,,1143.0
K01930.04,Kepler-338 e,1143.0
K03464.01,,1143.0
K03679.01,,1143.0
K04000.02,,1143.0
K04185.01,,1143.0
K08135.01,,1143.0
K01060.04,Kepler-758 e,1144.0
K01316.01,,1144.0
K01537.01,,1144.0
K04646.01,,1144.0
K04782.02,,1144.0
K06725.01,,1144.0
K00123.01,Kepler-109 b,1145.0
K00127.01,Kepler-77 b,1145.0
K01728.01,,1145.0
K00834.03,Kepler-238 c,1146.0
K02563.02,,1146.0
K00786.01,Kepler-680 b,1147.0
K02695.01,,1147.0
K02932.01,,1147.0
K06491.01,,1148.0
K00199.02,,1149.0
K01786.01,,1149.0
K02889.01,,1149.0
K04567.02,,1149.0
K04213.01,,1150.0
K07195.01,,1150.0
K00844.01,Kepler-697 b,1151.0
K03875.01,,1151.0
K05020.01,,1151.0
K07773.01,,1151.0
K05025.01,,1152.0
K06046.01,,1152.0
K06279.01,,1152.0
K08055.01,,1152.0
K00109.01,,1153.0
K01796.01,,1153.0
K02433.06,,1153.0
K06362.01,,1153.0
K03070.01,,1154.0
K00041.02,Kepler-100 b,1155.0
K00200.01,Kepler-74 b,1155.0
K00820.01,,1155.0
K00916.01,Kepler-724 b,1155.0
K01864.01,,1155.0
K02539.01,,1155.0
K04914.01,,1155.0
K06229.01,,1155.0
K00711.02,Kepler-218 b,1156.0
K01002.01,Kepler-746 b,1156.0
K02282.01,Kepler-1174 b,1156.0
K02372.01,Kepler-1213 b,1156.0
K02636.01,,1156.0
K04157.02,,1156.0
K06024.01,,1156.0
K07471.01,,1156.0
K07687.01,,1156.0
K00168.03,Kepler-23 b,1157.0
K00333.01,Kepler-527 b,1157.0
K01893.01,Kepler-1003 b,1157.0
K03721.01,,1157.0
K07507.01,,1157.0
K00932.01,,1158.0
K02317.01,Kepler-1189 b,1158.0
K03199.01,,1158.0
K03829.01,,1158.0
K07546.01,,1158.0
K07628.01,,1158.0
K00232.02,Kepler-122 b,1159.0
K02171.01,Kepler-1131 b,1159.0
K02390.01,Kepler-1219 b,1159.0
K03815.01,,1159.0
K04352.01,,1159.0
K04411.01,Kepler-1602 b,1159.0
K04663.01,,1159.0
K06458.01,,1159.0
K00630.01,,1160.0
K00756.02,Kepler-228 c,1160.0
K00861.01,Kepler-707 b,1160.0
K01116.01,Kepler-773 b,1160.0
K03643.01,,1160.0
K04032.01,Kepler-1542 b,1160.0
K02301.01,,1161.0
K04227.01,,1161.0
K00908.01,Kepler-720 b,1162.0
K02844.01,,1162.0
K03765.01,,1162.0
K04187.01,,1162.0
K00107.01,Kepler-464 b,1163.0
K00399.01,,1163.0
K01015.01,Kepler-750 b,1163.0
K01309.01,Kepler-812 b,1163.0
K01635.01,,1163.0
K00141.01,,1164.0
K01312.01,Kepler-814 b,1164.0
K01937.01,Kepler-1019 b,1164.0
K03545.01,,1164.0
K00137.03,Kepler-18 b,1165.0
K02597.03,,1165.0
K00182.01,,1166.0
K00491.01,,1166.0
K00579.01,Kepler-190 b,1166.0
K02374.01,Kepler-382 b,1166.0
K01333.01,,1167.0
K03075.01,,1167.0
K03925.03,Kepler-1530 c,1167.0
K06414.01,,1167.0
K01845.02,,1168.0
K02103.02,,1168.0
K07905.01,,1168.0
K02055.02,Kepler-1073 c,1169.0
K06894.01,,1169.0
K07422.01,,1169.0
K00102.02,,1170.0
K00133.01,,1170.0
K00591.01,,1170.0
K03898.01,,1170.0
K04877.01,,1170.0
K01108.01,Kepler-770 b,1171.0
K01235.01,,1171.0
K01811.01,,1171.0
K03004.02,,1171.0
K06045.01,,1171.0
K06631.01,,1171.0
K07532.01,,1171.0
K01462.01,,1172.0
K02941.01,,1172.0
K06451.01,,1172.0
K07359.01,,1172.0
K00224.01,,1173.0
K00990.01,,1173.0
K04756.01,,1173.0
K06041.01,,1173.0
K00873.01,Kepler-710 b,1174.0
K02344.01,Kepler-1200 b,1174.0
K07193.01,,1174.0
K07478.01,,1174.0
K04488.01,,1175.0
K00532.01,Kepler-588 b,1176.0
K03694.01,,1176.0
K04461.01,,1176.0
K05532.01,,1176.0
K07349.01,,1176.0
